epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,2919.46,2.35977,1.18888,0.00492,0.73208,0.4249,0.46874,0.23268,2.1569,1.04355,0.00534,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,3035.99,2.34605,1.18812,0.00495,0.73292,0.42657,0.47013,0.23343,2.15545,1.04226,0.00533,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,3149.01,2.34227,1.19107,0.00495,0.72939,0.42856,0.47111,0.23418,2.15211,1.04154,0.00532,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,3264.47,2.35053,1.19048,0.0049,0.7282,0.43072,0.47242,0.23459,2.14923,1.03953,0.00531,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,3377.21,2.35306,1.18443,0.00488,0.7285,0.43206,0.47312,0.23544,2.14579,1.03798,0.00529,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,3491.35,2.34492,1.18669,0.00491,0.73133,0.43062,0.47321,0.23581,2.14378,1.03406,0.00529,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,3603.29,2.35232,1.1866,0.00488,0.73009,0.4314,0.47352,0.23653,2.14197,1.03278,0.00528,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,8764.02,2.35722,1.19581,0.00485,0.73074,0.43171,0.47377,0.23682,2.1388,1.03223,0.00526,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,8875.23,2.33542,1.17706,0.00489,0.73069,0.43166,0.47471,0.23742,2.1364,1.03058,0.00526,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,8988.61,2.34372,1.17779,0.00482,0.73009,0.43325,0.47555,0.23733,2.13745,1.02751,0.00527,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
